,track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
23,2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,Pop Remix,pop,dance pop,0.732,0.85,1,-5.999,0.0444,0.114,0.0388,0.372,124.024
24,4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,Pop Remix,pop,dance pop,0.62,0.889,11,-3.785,0.0352,0.0163,0.395,0.422,110.018
25,5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019-06-21,Pop Remix,pop,dance pop,0.675,0.76,11,-7.037,0.0434,0.104,0.33,0.468,124.933
26,2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019-08-09,Pop Remix,pop,dance pop,0.682,0.851,1,-7.117,0.0363,0.0146,0.0289,0.348,126.0
27,1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019-02-01,Pop Remix,pop,dance pop,0.663,0.905,1,-3.781,0.0511,0.0325,0.333,0.397,125.996
28,4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),2019-05-23,Pop Remix,pop,dance pop,0.625,0.938,6,-3.983,0.0517,0.00432,0.0923,0.371,127.997
29,1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),2019-04-19,Pop Remix,pop,dance pop,0.679,0.909,1,-2.929,0.105,0.0334,0.269,0.819,119.885
30,1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),2019-11-01,Pop Remix,pop,dance pop,0.641,0.869,11,-4.754,0.0423,0.0319,0.403,0.358,128.091
31,4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),2018-11-30,Pop Remix,pop,dance pop,0.702,0.814,0,-7.51,0.0841,0.107,0.374,0.503,121.993
32,0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),2018-11-23,Pop Remix,pop,dance pop,0.723,0.837,11,-6.487,0.0389,0.0103,0.0834,0.643,123.952
33,7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019-09-05,Pop Remix,pop,dance pop,0.742,0.864,0,-5.06,0.0976,0.00141,0.241,0.727,125.032
34,7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019-11-22,Pop Remix,pop,dance pop,0.716,0.815,10,-4.121,0.0533,0.108,0.163,0.351,124.975
35,4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019-06-21,Pop Remix,pop,dance pop,0.748,0.831,1,-5.029,0.115,0.0823,0.0757,0.894,128.024
36,508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018-11-30,Pop Remix,pop,dance pop,0.816,0.833,5,-5.972,0.0511,0.126,0.0625,0.793,122.032
37,7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018-07-25,Pop Remix,pop,dance pop,0.633,0.854,0,-4.046,0.0432,0.0382,0.434,0.659,126.026
38,6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,Pop Remix,pop,dance pop,0.563,0.81,2,-2.921,0.0522,0.00522,0.0846,0.495,129.975
39,5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,Pop Remix,pop,dance pop,0.728,0.815,11,-2.878,0.046,0.00223,0.101,0.681,124.019
40,5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,Pop Remix,pop,dance pop,0.846,0.773,5,-3.503,0.0473,0.0141,0.204,0.586,124.008
41,6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87,Higher Love,2019-06-28,Pop Remix,pop,dance pop,0.693,0.678,8,-7.159,0.0324,0.0154,0.101,0.404,103.952
42,2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,Pop Remix,pop,dance pop,0.678,0.928,3,-3.66,0.0597,0.0303,0.143,0.663,116.892
43,3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,Pop Remix,pop,dance pop,0.67,0.453,0,-11.265,0.295,0.252,0.117,0.68,135.055
44,478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019-11-01,Pop Remix,pop,dance pop,0.755,0.931,1,-4.104,0.0606,0.132,0.0854,0.288,122.041
45,3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,Pop Remix,pop,dance pop,0.622,0.859,5,-7.626,0.0636,0.000609,0.0909,0.442,121.968
46,2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019-10-25,Pop Remix,pop,dance pop,0.789,0.893,10,-4.364,0.168,0.0538,0.221,0.41,121.956
47,79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019-08-09,Pop Remix,pop,dance pop,0.64,0.838,6,-4.203,0.0416,0.0588,0.0424,0.587,124.081
48,6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019-06-14,Pop Remix,pop,dance pop,0.609,0.764,5,-4.564,0.111,0.0994,0.197,0.531,128.082
49,08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019-09-27,Pop Remix,pop,dance pop,0.64,0.992,4,-3.318,0.0585,0.0832,0.109,0.479,123.951
50,1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019-01-25,Pop Remix,pop,dance pop,0.75,0.81,0,-4.607,0.0572,0.0917,0.111,0.48,120.038
51,5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,Pop Remix,pop,dance pop,0.535,0.956,1,-2.996,0.0343,0.000609,0.262,0.12,127.984
52,3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019-04-29,Pop Remix,pop,dance pop,0.766,0.771,6,-9.108,0.0576,0.00407,0.113,0.297,140.036
53,5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019-11-15,Pop Remix,pop,dance pop,0.649,0.821,10,-4.952,0.0472,0.017,0.0655,0.394,125.977
54,3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,Pop Remix,pop,dance pop,0.588,0.697,3,-4.744,0.0372,0.186,0.103,0.225,125.157
55,2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,Pop Remix,pop,dance pop,0.355,0.789,5,-4.358,0.165,0.0148,0.0355,0.169,80.444
56,3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019-11-01,Pop Remix,pop,dance pop,0.542,0.84,0,-5.283,0.0419,0.0336,0.277,0.509,118.02
57,1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,67,Cool Kids,2019-11-01,Pop Remix,pop,dance pop,0.735,0.5,8,-11.297,0.0511,0.415,0.13,0.119,126.1
58,5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,Pop Remix,pop,dance pop,0.752,0.84,6,-4.451,0.0373,0.00486,0.0916,0.461,124.002
59,6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019-08-23,Pop Remix,pop,dance pop,0.748,0.903,3,-5.877,0.0385,0.0324,0.106,0.751,115.018
60,6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019-12-27,Pop Remix,pop,dance pop,0.607,0.955,7,-3.613,0.102,0.0163,0.0725,0.501,125.984
61,4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,Pop Remix,pop,dance pop,0.607,0.995,9,-2.325,0.0487,0.0921,0.0445,0.664,124.998
62,1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019-09-12,Pop Remix,pop,dance pop,0.679,0.786,1,-6.918,0.132,0.119,0.224,0.47,126.092
63,4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,Pop Remix,pop,dance pop,0.714,0.801,5,-5.8,0.0301,0.0204,0.334,0.292,124.015
64,6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,Pop Remix,pop,dance pop,0.69,0.862,2,-4.154,0.0944,0.0611,0.238,0.453,121.975
65,3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,Pop Remix,pop,dance pop,0.775,0.867,4,-7.388,0.204,0.0158,0.0355,0.565,128.956
66,4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,Pop Remix,pop,dance pop,0.814,0.838,11,-5.547,0.0763,0.001,0.0185,0.959,121.978
67,6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,Pop Remix,pop,dance pop,0.784,0.779,8,-5.48,0.0387,0.0357,0.0245,0.459,124.994
68,27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019-09-13,Pop Remix,pop,dance pop,0.367,0.783,6,-4.504,0.154,0.00515,0.0545,0.289,88.013
69,6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,Pop Remix,pop,dance pop,0.609,0.83,6,-3.759,0.0793,0.201,0.0321,0.604,117.833
70,05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,Dance Pop,pop,dance pop,0.591,0.702,7,-5.59,0.0289,0.225,0.414,0.501,104.003
71,0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,Dance Pop,pop,dance pop,0.59,0.642,7,-3.87,0.122,0.0771,0.105,0.651,107.356
72,5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,83,Here With Me,2019-03-08,Dance Pop,pop,dance pop,0.791,0.565,5,-3.933,0.0439,0.0623,0.156,0.181,99.961
73,6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,Dance Pop,pop,dance pop,0.564,0.747,5,-3.374,0.0584,0.0728,0.151,0.717,97.878
74,4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,81,Sixteen,2019-04-12,Dance Pop,pop,dance pop,0.669,0.801,8,-5.445,0.136,0.268,0.0594,0.541,109.919
75,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,Dance Pop,pop,dance pop,0.77,0.882,8,-4.792,0.0602,0.194,0.316,0.385,99.991
76,4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019-03-27,Dance Pop,pop,dance pop,0.513,0.788,0,-4.629,0.0364,0.00968,0.11,0.234,139.987
77,5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019-05-03,Dance Pop,pop,dance pop,0.72,0.864,0,-3.249,0.208,0.0856,0.16,0.659,96.048
78,3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,Dance Pop,pop,dance pop,0.789,0.858,5,-4.388,0.0404,0.22,0.335,0.491,110.012
79,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,Dance Pop,pop,dance pop,0.294,0.505,3,-8.106,0.042,0.12,0.0977,0.357,85.332
80,3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,74,All the Time,2019-06-21,Dance Pop,pop,dance pop,0.665,0.799,6,-2.868,0.0617,0.18,0.125,0.5,101.976
81,4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,Dance Pop,pop,dance pop,0.46,0.8,1,-3.584,0.05,0.289,0.121,0.553,102.46
82,1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,71,With You,2019-06-14,Dance Pop,pop,dance pop,0.362,0.921,1,-3.815,0.486,0.123,0.19,0.529,172.191
83,1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019-10-18,Dance Pop,pop,dance pop,0.686,0.83,8,-4.437,0.0369,0.0948,0.182,0.486,123.032
84,6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,73,Not Ok,2019-05-23,Dance Pop,pop,dance pop,0.618,0.66,11,-8.14,0.0372,0.0292,0.325,0.408,105.0
85,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,79,Ruin My Life,2018-10-18,Dance Pop,pop,dance pop,0.665,0.699,11,-5.265,0.0578,0.423,0.0969,0.585,124.896
86,18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018-03-16,Dance Pop,pop,dance pop,0.661,0.725,6,-4.859,0.0563,0.0253,0.123,0.605,119.927
87,3D37T7euWvVJ45evRmriIh,Better With You,3LAU,63,Better With You,2019-03-01,Dance Pop,pop,dance pop,0.571,0.752,3,-4.872,0.0293,0.0196,0.114,0.25,102.043
88,3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,Dance Pop,pop,dance pop,0.591,0.705,9,-6.519,0.079,0.381,0.131,0.27,121.799
89,6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,16,Blue,2018-11-09,Dance Pop,pop,dance pop,0.652,0.898,7,-4.481,0.0361,0.29,0.073,0.472,114.043
90,575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,Dance Pop,pop,dance pop,0.706,0.855,10,-5.377,0.215,0.0911,0.347,0.293,107.184
91,70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019-08-16,Dance Pop,pop,dance pop,0.404,0.806,2,-4.75,0.0496,0.198,0.114,0.112,148.036
92,7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019-07-12,Dance Pop,pop,dance pop,0.876,0.856,4,-3.884,0.0486,0.0812,0.457,0.685,121.991
93,6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,30,SOS,2019-04-10,Dance Pop,pop,dance pop,0.802,0.645,5,-6.181,0.0715,0.272,0.119,0.376,100.001
94,2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,62,Snacks,2019-07-12,Dance Pop,pop,dance pop,0.906,0.832,5,-3.004,0.0718,0.0909,0.152,0.751,104.03
95,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,The Middle,2018-01-23,Dance Pop,pop,dance pop,0.753,0.657,7,-3.061,0.0449,0.171,0.112,0.437,107.01
96,1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,70,Wanted,2019-09-27,Dance Pop,pop,dance pop,0.693,0.674,5,-4.449,0.0723,0.185,0.0639,0.378,95.972
97,6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,Dance Pop,pop,dance pop,0.672,0.815,1,-6.476,0.0981,0.00246,0.577,0.341,115.033
98,1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019-10-24,Dance Pop,pop,dance pop,0.581,0.76,0,-3.962,0.0406,0.16,0.183,0.523,104.099
99,6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019-05-13,Dance Pop,pop,dance pop,0.643,0.594,2,-5.453,0.0318,0.0128,0.118,0.442,144.033
100,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019-01-18,Dance Pop,pop,dance pop,0.674,0.881,9,-2.853,0.147,0.296,0.0793,0.234,98.994
101,1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,36,Nostalgic,2019-06-18,Dance Pop,pop,dance pop,0.691,0.538,0,-9.952,0.103,0.246,0.178,0.329,99.972
102,1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,Dance Pop,pop,dance pop,0.661,0.758,7,-5.299,0.0864,0.0797,0.106,0.387,114.098
103,7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,58,Lovers + Strangers,2019-10-11,Dance Pop,pop,dance pop,0.653,0.69,1,-5.003,0.0756,0.109,0.136,0.652,110.214
104,2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019-06-14,Dance Pop,pop,dance pop,0.734,0.693,0,-6.474,0.0361,0.0878,0.341,0.55,110.021
105,4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,64,In the Shape of a Dream,2018-08-31,Dance Pop,pop,dance pop,0.663,0.696,11,-5.994,0.0349,0.0563,0.226,0.449,139.98
106,1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,63,Save Me Tonight,2019-01-25,Dance Pop,pop,dance pop,0.55,0.899,5,-3.284,0.0458,0.0113,0.137,0.408,125.85
107,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,Dance Pop,pop,dance pop,0.703,0.868,7,-4.661,0.0291,0.15,0.104,0.733,121.03
108,1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,Dance Pop,pop,dance pop,0.44,0.635,11,-6.385,0.0326,0.129,0.121,0.327,128.133
